,Name,Manufacturer,Location,km_Driven,Fuel_Type,Owner_Type,Engine CC,Power(bhp),Seats,Mileage Km/L,Price,Brand,No of Years,Transmission_Manual
0,Maruti Wagon R LXI CNG,Maruti,Mumbai,72.0,CNG,First,998,58.16,5,26.6,1.75,Maruti,12,1
1,Hyundai Creta 1.6 CRDi SX Option,Hyundai,Pune,41.0,Diesel,First,1582,126.2,5,19.67,12.5,Hyundai,7,1
2,Honda Jazz V,Honda,Chennai,46.0,Petrol,First,1199,88.7,5,18.2,4.5,Honda,11,1
3,Maruti Ertiga VDI,Maruti,Chennai,87.0,Diesel,First,1248,88.76,7,20.77,6.0,Maruti,10,1
4,Audi A4 New 2.0 TDI Multitronic,Audi,Coimbatore,40.67,Diesel,Second,1968,140.8,5,15.2,17.74,Audi,9,0
5,Hyundai EON LPG Era Plus Option,Hyundai,Hyderabad,75.0,LPG,First,814,55.2,5,21.1,2.35,Hyundai,10,1
6,Nissan Micra Diesel XV,Nissan,Jaipur,86.999,Diesel,First,1461,63.1,5,23.08,3.5,Nissan,9,1
7,Toyota Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,36.0,Diesel,First,2755,171.5,8,11.36,17.5,Toyota,6,0
8,Volkswagen Vento Diesel Comfortline,Volkswagen,Pune,64.43,Diesel,First,1598,103.6,5,20.54,5.2,Volkswagen,9,1
9,Tata Indica Vista Quadrajet LS,Tata,Chennai,65.932,Diesel,Second,1248,74.0,5,22.3,1.95,Tata,10,1
10,Maruti Ciaz Zeta,Maruti,Kochi,25.692,Petrol,First,1462,103.25,5,21.56,9.95,Maruti,4,1
11,Honda City 1.5 V AT Sunroof,Honda,Kolkata,60.0,Petrol,First,1497,116.3,5,16.8,4.49,Honda,10,0
12,Maruti Swift VDI BSIV,Maruti,Jaipur,64.424,Diesel,First,1248,74.0,5,25.2,5.6,Maruti,7,1
13,Land Rover Range Rover 2.2L Pure,Land,Delhi,72.0,Diesel,First,2179,187.7,5,12.7,27.0,Land,8,0
15,Mitsubishi Pajero Sport 4X4,Mitsubishi,Delhi,110.0,Diesel,First,2477,175.56,7,13.5,15.0,Mitsubishi,8,1
16,Honda Amaze S i-Dtech,Honda,Kochi,58.95,Diesel,First,1498,98.6,5,25.8,5.4,Honda,6,1
17,Maruti Swift DDiS VDI,Maruti,Jaipur,25.0,Diesel,First,1248,74.0,5,28.4,5.99,Maruti,5,1
18,Renault Duster 85PS Diesel RxL Plus,Renault,Kochi,77.469,Diesel,First,1461,83.8,5,20.45,6.34,Renault,8,1
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,MercedesBenz,Bangalore,78.5,Diesel,First,2143,167.62,5,14.84,28.0,Mercedes-Benz,8,0
20,BMW 3 Series 320d,BMW,Kochi,32.982,Diesel,First,1995,190.0,5,22.69,18.55,BMW,8,0
21,Maruti S Cross DDiS 200 Alpha,Maruti,Bangalore,55.392,Diesel,Second,1248,88.5,5,23.65,8.25,Maruti,7,1
22,Audi A6 2011-2015 35 TFSI Technology,Audi,Mumbai,55.985,Petrol,First,1984,177.01,5,13.53,23.5,Audi,7,0
23,Hyundai i20 1.2 Magna,Hyundai,Kolkata,45.807,Petrol,First,1197,80.0,5,18.5,1.87,Hyundai,12,1
24,Volkswagen Vento Petrol Highline AT,Volkswagen,Kolkata,33.0,Petrol,First,1598,103.6,5,14.4,2.85,Volkswagen,12,0
