,km_Driven,Fuel_Type,Owner_Type,Engine CC,Power(bhp),Seats,Mileage Km/L,Price,No of Years,Transmission_Manual
0,72.0,0,0,998,58.16,5,26.6,1.75,12,1
1,41.0,1,0,1582,126.2,5,19.67,12.5,7,1
2,46.0,3,0,1199,88.7,5,18.2,4.5,11,1
3,87.0,1,0,1248,88.76,7,20.77,6.0,10,1
4,40.67,1,2,1968,140.8,5,15.2,17.74,9,0
5,75.0,2,0,814,55.2,5,21.1,2.35,10,1
6,86.999,1,0,1461,63.1,5,23.08,3.5,9,1
7,36.0,1,0,2755,171.5,8,11.36,17.5,6,0
8,64.43,1,0,1598,103.6,5,20.54,5.2,9,1
9,65.932,1,2,1248,74.0,5,22.3,1.95,10,1
10,25.692,3,0,1462,103.25,5,21.56,9.95,4,1
11,60.0,3,0,1497,116.3,5,16.8,4.49,10,0
12,64.424,1,0,1248,74.0,5,25.2,5.6,7,1
13,72.0,1,0,2179,187.7,5,12.7,27.0,8,0
15,110.0,1,0,2477,175.56,7,13.5,15.0,8,1
16,58.95,1,0,1498,98.6,5,25.8,5.4,6,1
17,25.0,1,0,1248,74.0,5,28.4,5.99,5,1
18,77.469,1,0,1461,83.8,5,20.45,6.34,8,1
19,78.5,1,0,2143,167.62,5,14.84,28.0,8,0
20,32.982,1,0,1995,190.0,5,22.69,18.55,8,0
21,55.392,1,2,1248,88.5,5,23.65,8.25,7,1
22,55.985,3,0,1984,177.01,5,13.53,23.5,7,0
23,45.807,3,0,1197,80.0,5,18.5,1.87,12,1
24,33.0,3,0,1598,103.6,5,14.4,2.85,12,0
25,51.92,3,0,1497,116.3,5,16.8,4.25,10,1
26,54.0,1,0,1461,63.1,5,23.08,4.25,10,1
27,54.0,3,2,998,67.1,5,20.92,2.75,9,1
28,37.43,3,0,1199,88.7,5,17.5,9.9,4,1
29,262.0,1,1,2494,102.0,7,12.8,4.0,15,1
30,62.0,1,0,1461,108.45,5,19.01,7.75,9,1
31,87.615,3,0,1798,138.1,5,14.53,6.75,10,1
32,72.0,1,2,2696,184.0,7,11.18,12.5,9,0
33,35.0,1,0,2698,179.5,5,12.4,11.5,12,0
34,55.431,3,2,1598,103.5,5,16.09,6.98,8,1
35,83.816,3,2,1061,64.0,5,14.0,1.85,13,1
36,50.075,1,0,1248,88.5,5,24.3,8.63,4,1
37,52.0,3,0,1198,82.0,5,18.15,4.85,5,1
38,85.0,1,0,2987,254.8,5,11.74,28.0,9,0
39,62.0,1,0,1199,73.9,5,22.07,5.0,9,1
40,90.0,3,2,796,46.3,5,19.7,1.25,14,1
41,19.698,3,0,624,37.5,4,25.4,1.53,8,1
42,22.033,1,0,1198,77.0,6,25.32,5.58,5,1
43,35.487,3,0,1197,82.9,5,18.5,4.74,8,1
44,46.374,3,0,1999,149.92,5,14.62,8.85,8,0
45,52.001,3,0,1798,138.03,5,14.28,10.11,6,0
46,58.005,1,2,1991,112.2,5,14.9,4.25,14,1
47,70.704,3,0,2694,163.7,7,11.25,10.95,10,1
48,75.0,1,0,1120,71.0,5,24.4,3.85,8,1
49,75.8,1,2,2498,105.0,6,16.55,5.5,10,1
50,13.648,1,0,1968,174.33,5,17.11,21.43,7,0
51,52.0,1,0,1248,74.0,5,22.9,4.25,8,1
52,53.0,1,0,1248,75.0,5,17.8,3.3,8,1
53,65.65,1,0,1248,74.0,5,28.4,3.85,9,1
54,54.0,3,3,1197,82.0,5,18.9,3.6,7,1
55,39.0,3,0,1598,103.2,5,15.04,3.99,7,1
56,16.542,3,0,799,53.3,5,25.17,3.3,5,1
57,32.0,3,0,1197,78.9,5,20.36,2.07,12,1
58,121.812,1,0,1995,147.6,5,13.29,7.75,12,0
59,39.3,3,0,998,67.1,5,18.2,2.25,12,1
60,22.0,1,0,2393,147.8,8,13.68,16.5,5,1
61,72.0,1,0,1399,68.0,5,20.0,2.75,12,1
62,58.0,3,0,1796,186.0,5,11.74,26.7,7,0
63,65.0,1,2,2148,170.0,5,15.8,10.0,11,1
64,178.0,1,0,1396,69.0,5,25.0,2.5,6,1
65,65.664,1,0,1968,140.0,5,16.55,13.5,10,0
66,63.0,3,2,1497,78.0,5,16.4,1.85,15,0
